x,y,z
-0.006500244,-0.0014953613,0.048461914
-0.019500732,-0.004501343,0.14550781
-0.032989502,-0.007507324,0.2524414
-0.04699707,-0.010498047,0.36950684
-0.06100464,-0.013504028,0.4864502
-0.07501221,-0.016494751,0.6035156
-0.08950806,-0.017501831,0.7215576
-0.10449219,-0.016494751,0.8404541
-0.119506836,-0.01550293,0.95947266
-0.1329956,-0.022994995,1.0705566
-0.14498901,-0.039001465,1.1734619
-0.15701294,-0.054992676,1.2764893
-0.16900635,-0.070999146,1.3795166
-0.1795044,-0.08200073,1.4804688
-0.18850708,-0.08799744,1.5794678
-0.19750977,-0.09399414,1.6784668
-0.20150757,-0.087005615,1.7755127
-0.20050049,-0.06700134,1.8704834
-0.19949341,-0.04699707,1.9654541
-0.19848633,-0.026992798,2.0605469
-0.19750977,-0.007003784,2.1555176
-0.19400024,0.019500732,2.2554932
-0.18798828,0.052505493,2.3604736
-0.18200684,0.085494995,2.465454
-0.17599487,0.118499756,2.5705566
-0.16351318,0.15849304,2.6674805
-0.14450073,0.20550537,2.7564697
-0.12548828,0.25250244,2.845459
-0.10650635,0.2994995,2.9344482
-0.0874939,0.34649658,3.0235596
-0.06851196,0.39349365,3.1125488
-0.05050659,0.45100403,3.1970215
-0.0335083,0.5189972,3.2769775
-0.01651001,0.5870056,3.3570557
-0.0069885254,0.65600586,3.4394531
-0.005004883,0.7259979,3.5245361
-0.0029907227,0.79600525,3.609497
-0.01449585,0.8430023,3.7044678
-0.039489746,0.8670044,3.8094482
-0.06451416,0.89100647,3.9145508
-0.08950806,0.9149933,4.0195312
-0.12200928,0.9109955,4.1359863
-0.15948486,0.8670044,4.258545
-0.19448853,0.81100464,4.3754883
-0.22149658,0.74549866,4.4925537
-0.24050903,0.6705017,4.609497
-0.25949097,0.59550476,4.7264404
-0.2709961,0.5149994,4.8415527
-0.2749939,0.42900085,4.954468
-0.2789917,0.34300232,5.067505
-0.2829895,0.25700378,5.180542
-0.2869873,0.17100525,5.293457
-0.28601074,0.09599304,5.3900146
-0.27999878,0.03199768,5.4699707
-0.27398682,-0.03199768,5.550049
-0.2625122,-0.085494995,5.5949707
-0.24551392,-0.12849426,5.6049805
-0.2284851,-0.17149353,5.61499
-0.21148682,-0.2144928,5.625
-0.20401001,-0.21150208,5.630005
-0.20599365,-0.1625061,5.630005
-0.20800781,-0.11349487,5.630005
-0.20999146,-0.0644989,5.630005
-0.23300171,-0.035995483,5.6555176
-0.27700806,-0.027999878,5.706543
-0.3210144,-0.020004272,5.7574463
-0.36499023,-0.011993408,5.8084717
-0.4085083,-0.058502197,5.93396
-0.45098877,-0.12750244,6.109497
-0.49301147,-0.164505,6.260498
-0.53500366,-0.20149231,6.411499
-0.57699585,-0.23849487,6.5625
-0.6205139,-0.24549866,6.699951
-0.6654968,-0.22250366,6.8239746
-0.71051025,-0.19949341,6.947998
-0.7420044,-0.15699768,7.055542
-0.76000977,-0.09500122,7.1464844
-0.77801514,-0.03300476,7.237549
-0.7785034,0.024505615,7.3155518
-0.7615051,0.07749939,7.380493
-0.74450684,0.13049316,7.4455566
-0.72750854,0.1835022,7.510498
-0.7034912,0.23899841,7.55896
-0.67248535,0.29699707,7.5909424
-0.64151,0.35499573,7.623047
-0.61849976,0.4225006,7.660034
-0.6034851,0.49949646,7.7020264
-0.588501,0.57650757,7.7440186
-0.5734863,0.6535034,7.7860107
-0.5805054,0.713501,7.8530273
-0.6094971,0.75650024,7.9449463
-0.63848877,0.7994995,8.036987
-0.6830139,0.8255005,8.151978
-0.7430115,0.8345032,8.290039
-0.80300903,0.84350586,8.4279785
-0.8699951,0.82850647,8.575439
-0.94400024,0.789505,8.732544
-1.0180054,0.75050354,8.889526
-1.0920105,0.7115021,9.046509
-1.1640015,0.6625061,9.185059
-1.2340088,0.60350037,9.305054
